Index	Biosample
J000	KMS-11
J002	SK-N-SH
J004	K562
J006	B cell female adult (27 years) and female adult (43 years)
J007	neurosphere embryo (15 weeks) originated from ganglionic eminence
J008	placenta embryo (16 weeks)
J010	H1-hESC
J011	IMR-90 nuclear fraction
J012	ovary female adult (51 year)
J013	layer of hippocampus female adult (75 years)
J014	epithelial cell of proximal tubule
J015	placenta male embryo (16 weeks)
J019	sigmoid colon female adult (53 years)
J020	HL-60
J021	esophagus female adult (30 years)
J023	fibroblast of lung male adult (45 years)
J024	liver female adult (25 years)
J025	ACC112
J026	stomach female adult (53 years)
J027	subcutaneous adipose tissue female adult (53 years)
J028	chorion male embryo (16 weeks)
J029	chorion female embryo (40 weeks)
J033	middle frontal area 46 female adult (75 years)
J035	HT1080 nuclear fraction
J036	transverse colon female adult (53 years)
J038	heart left ventricle male adult (34 years)
J040	HepG2
J041	GM12878
J042	subcutaneous abdominal adipose tissue nuclear fraction female adult (49 years)
J043	fibroblast of breast female adult (17 years)
J044	GM12878 cytosolic fraction
J045	myotube
J046	trophoblast cell originated from H1-hESC
J047	A549 cytosolic fraction
J048	spleen female adult (53 years)
J049	H9
J050	GM12891
J051	Loucy
J053	B cell female adult (27 years)
J055	NCI-H929
J056	upper lobe of left lung female adult (53 years)
J057	muscle of leg female embryo (110 days)
J059	chorionic villus male embryo (38 weeks)
J060	stomach male adult (37 years)
J061	HeLa-S3
J062	MCF-7
J063	colonic mucosa female adult (73 years)
J066	smooth muscle cell originated from H9
J067	thymus male child (3 years)
J068	right atrium auricular region female adult (53 years)
J069	body of pancreas male adult (54 years)
J071	placental pericyte female newborn and male newborn
J072	colonic mucosa female adult (56 years)
J073	adipocyte originated from mesenchymal stem cell
J074	sigmoid colon male adult (54 years)
J076	MM.1S
J077	mammary epithelial cell female
J078	cerebellum female embryo (19 weeks) and female embryo (37 weeks)
J082	common myeloid progenitor, CD34-positive female adult (27 years)
J083	mucosa of rectum female adult (50 years)
J084	spleen female adult (30 years)
J085	small intestine female adult (30 years)
J086	stomach smooth muscle female adult (84 years)
J090	heart right ventricle male child (3 years)
J091	gastrocnemius medialis male adult (37 years)
J092	neural progenitor cell originated from H9
J095	liver male adult (78 years)
J096	sigmoid colon male adult (37 years)
J097	endothelial cell of umbilical vein male newborn
J098	fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)
J099	liver male adult (32 years)
J101	CD14-positive monocyte female
J102	mesenchymal stem cell of adipose
J104	skin of body female embryo (24 weeks) and male embryo (22 weeks)
J105	gastrocnemius medialis female adult (53 years)
J107	esophagus muscularis mucosa female adult (53 years)
J108	keratinocyte nuclear fraction female
J109	metanephros female embryo (20 weeks) and female embryo (24 weeks)
J111	thymus female embryo (110 days)
J112	common myeloid progenitor, CD34-positive male adult (36 years)
J113	OCI-LY1
J115	neural cell
J116	amnion male embryo (16 weeks)
J118	IMR-90 cytosolic fraction
J120	heart right ventricle male adult (34 years)
J122	OCI-LY3
J123	muscle layer of duodenum male adult (73 years)
J124	GM23338 male adult (53 years) originated from GM23248
J125	Karpas-422
J128	angular gyrus male adult (81 year)
J129	ovary female adult (53 years)
J130	subcutaneous adipose tissue male adult (37 years)
J131	HT-29
J132	vagina female adult (53 years)
J135	HepG2 nuclear fraction
J137	parietal lobe female embryo (24 weeks) and male embryo (22 weeks)
J138	HCT116
J139	HEK293T
J140	SK-N-SH treated with 6 μM all-trans-retinoic acid for 48 hours
J143	neural stem progenitor cell originated from H9
J144	Panc1
J146	heart left ventricle female adult (53 years)
J147	skeletal muscle myoblast male adult (22 years)
J148	thyroid gland female adult (51 year)
J149	ovary female adult (30 years)
J153	placental basal plate female embryo (40 weeks)
J156	endothelial cell of umbilical vein nuclear fraction male newborn
J158	lower leg skin female adult (53 years)
J159	neural stem progenitor cell originated from H1-hESC
J160	gastroesophageal sphincter female adult (51 year)
J161	lung female adult (30 years)
J162	muscle layer of duodenum male adult (59 years)
J163	peripheral blood mononuclear cell male adult (39 years)
J164	H9 genetically modified using stable transfection
J168	foreskin fibroblast male newborn
J171	HeLa-S3 nuclear fraction
J172	tibial nerve female adult (53 years)
J173	neutrophil
J175	vagina female adult (51 year)
J176	CD14-positive monocyte male adult (21 year)
J177	H1-hESC cytosolic fraction
J178	heart left ventricle male child (3 years)
J179	prostate gland male adult (37 years)
J180	M059J
J181	CD4-positive, alpha-beta T cell
J182	mammary epithelial cell female adult (18 years)
J185	layer of hippocampus male adult (73 years)
J186	Parathyroid adenoma male adult (62 years)
J187	sigmoid colon male adult (34 years)
J188	endocrine pancreas adult (59 years)
J190	skeletal muscle satellite cell female adult originated from mesodermal cell
J191	esophagus squamous epithelium female adult (53 years)
J192	lung male child (3 years)
J193	melanocyte of skin male child (1 year) and male child (3 years)
J195	foreskin keratinocyte male newborn
J196	B cell male adult (37 years)
J197	PC-3
J199	bipolar neuron originated from GM23338 treated with 0.5 μg/mL doxycycline hyclate for 4 days
J200	IMR-90
J201	Peyer's patch female adult (53 years)
J202	A549 nuclear fraction
J208	right cardiac atrium male adult (34 years)
J209	esophagus muscularis mucosa female adult (51 year)
J211	brain male embryo (122 days)
J213	layer of hippocampus male adult (81 year)
J215	esophagus squamous epithelium male adult (37 years)
J217	adrenal gland female adult (30 years)
J218	SJCRH30
J220	mesenchymal stem cell originated from adipose tissue
J221	aorta male adult (34 years)
J222	myoepithelial cell of mammary gland female adult (33 years)
J223	common myeloid progenitor, CD34-positive
J225	HUES6
J226	substantia nigra female adult (75 years)
J228	kidney male adult (50 years)
J229	esophagus muscularis mucosa male adult (37 years)
J230	GM12878 nuclear fraction
J231	SK-N-DZ cytosolic fraction
J232	psoas muscle male adult (34 years)
J233	iPS-18a female adult (48 years)
J234	uterus female adult (51 year)
J235	subcutaneous abdominal adipose tissue nuclear fraction female adult (81 year)
J236	diencephalon female embryo (20 weeks) and male embryo (22 weeks)
J237	trophoblast female embryo (20 weeks)
J239	CD8-positive, alpha-beta memory T cell
J241	testis male adult (37 years)
J242	hematopoietic multipotent progenitor cell
J243	mammary epithelial cell female adult (50 years)
J245	skeletal muscle satellite cell female adult (64 years) and male adult (21 year)
J246	upper lobe of left lung male adult (54 years)
J248	breast epithelium female adult (53 years)
J250	A375
J252	germinal matrix male embryo (20 weeks)
J253	osteoblast
J254	melanocyte of skin female adult (52 years) and male adult (55 years)
J255	T-helper 17 cell treated with phorbol 13-acetate 12-myristate , ionomycin
J257	kidney male adult (67 years)
J258	K562 cytosolic fraction
J259	body of pancreas male adult (37 years)
J260	esophagus squamous epithelium male adult (54 years)
J261	neurosphere female embryo (17 weeks) originated from cortex
