Biosample Index	Biosample	Biosample summary	Assay	Accession	Download URL
J000	KMS-11	KMS-11	ChIP-seq_H3K79me2_signal_p-value	ENCFF879WIV	/files/ENCFF879WIV/@@download/ENCFF879WIV.bigWig
J000	KMS-11	KMS-11	ChIP-seq_H2AFZ_signal_p-value	ENCFF846LPN	/files/ENCFF846LPN/@@download/ENCFF846LPN.bigWig
J000	KMS-11	KMS-11	ChIP-seq_H3K9me2_signal_p-value	ENCFF251LTR	/files/ENCFF251LTR/@@download/ENCFF251LTR.bigWig
J000	KMS-11	KMS-11	ChIP-seq_H3K9ac_signal_p-value	ENCFF270UYP	/files/ENCFF270UYP/@@download/ENCFF270UYP.bigWig
J000	KMS-11	KMS-11	ChIP-seq_H3K4me2_signal_p-value	ENCFF651XGU	/files/ENCFF651XGU/@@download/ENCFF651XGU.bigWig
J000	KMS-11	KMS-11	ChIP-seq_H4K20me1_signal_p-value	ENCFF323WKX	/files/ENCFF323WKX/@@download/ENCFF323WKX.bigWig
J000	KMS-11	KMS-11	ChIP-seq_H3K4me1_signal_p-value	ENCFF430GAD	/files/ENCFF430GAD/@@download/ENCFF430GAD.bigWig
J000	KMS-11	KMS-11	ChIP-seq_H3K36me3_signal_p-value	ENCFF695LIV	/files/ENCFF695LIV/@@download/ENCFF695LIV.bigWig
J000	KMS-11	KMS-11	ChIP-seq_H3K27me3_signal_p-value	ENCFF952TLY	/files/ENCFF952TLY/@@download/ENCFF952TLY.bigWig
J000	KMS-11	KMS-11	ChIP-seq_CTCF_signal_p-value	ENCFF111QNV	/files/ENCFF111QNV/@@download/ENCFF111QNV.bigWig
J000	KMS-11	KMS-11	ChIP-seq_H3K27ac_signal_p-value	ENCFF607PKD	/files/ENCFF607PKD/@@download/ENCFF607PKD.bigWig
J000	KMS-11	KMS-11	ChIP-seq_H3K4me3_signal_p-value	ENCFF478GFM	/files/ENCFF478GFM/@@download/ENCFF478GFM.bigWig
J002	SK-N-SH	SK-N-SH	ChIP-seq_TAF1_signal_p-value	ENCFF167MXL	/files/ENCFF167MXL/@@download/ENCFF167MXL.bigWig
J002	SK-N-SH	SK-N-SH	ChIP-seq_JUND_signal_p-value	ENCFF120UGE	/files/ENCFF120UGE/@@download/ENCFF120UGE.bigWig
J002	SK-N-SH	SK-N-SH	ChIP-seq_CTCF_signal_p-value	ENCFF733AOC	/files/ENCFF733AOC/@@download/ENCFF733AOC.bigWig
J002	SK-N-SH	SK-N-SH	polyA_RNA-seq_minus_strand_signal_of_all_reads	ENCFF784RQU	/files/ENCFF784RQU/@@download/ENCFF784RQU.bigWig
J002	SK-N-SH	SK-N-SH	CAGE_minus_strand_signal_of_all_reads	ENCFF073VSF	/files/ENCFF073VSF/@@download/ENCFF073VSF.bigWig
J002	SK-N-SH	SK-N-SH	ChIP-seq_H3K9me3_signal_p-value	ENCFF745XCS	/files/ENCFF745XCS/@@download/ENCFF745XCS.bigWig
J002	SK-N-SH	SK-N-SH	ChIP-seq_CHD2_signal_p-value	ENCFF442LAH	/files/ENCFF442LAH/@@download/ENCFF442LAH.bigWig
J002	SK-N-SH	SK-N-SH	ChIP-seq_EZH2phosphoT487_signal_p-value	ENCFF555LUO	/files/ENCFF555LUO/@@download/ENCFF555LUO.bigWig
J002	SK-N-SH	SK-N-SH	ChIP-seq_H3K9me2_signal_p-value	ENCFF348AGC	/files/ENCFF348AGC/@@download/ENCFF348AGC.bigWig
J002	SK-N-SH	SK-N-SH	ChIP-seq_H3K27me3_signal_p-value	ENCFF638XFB	/files/ENCFF638XFB/@@download/ENCFF638XFB.bigWig
J002	SK-N-SH	SK-N-SH	ChIP-seq_H3K4me3_signal_p-value	ENCFF113CUN	/files/ENCFF113CUN/@@download/ENCFF113CUN.bigWig
J002	SK-N-SH	SK-N-SH	ChIP-seq_H2AFZ_signal_p-value	ENCFF958KGR	/files/ENCFF958KGR/@@download/ENCFF958KGR.bigWig
J002	SK-N-SH	SK-N-SH	ChIP-seq_USF2_signal_p-value	ENCFF975ICB	/files/ENCFF975ICB/@@download/ENCFF975ICB.bigWig
J002	SK-N-SH	SK-N-SH	ChIP-seq_REST_signal_p-value	ENCFF855STS	/files/ENCFF855STS/@@download/ENCFF855STS.bigWig
J002	SK-N-SH	SK-N-SH	ChIP-seq_H4K20me1_signal_p-value	ENCFF403RAD	/files/ENCFF403RAD/@@download/ENCFF403RAD.bigWig
J002	SK-N-SH	SK-N-SH	ChIP-seq_H3K9ac_signal_p-value	ENCFF141NDT	/files/ENCFF141NDT/@@download/ENCFF141NDT.bigWig
J002	SK-N-SH	SK-N-SH	ChIP-seq_SIN3A_signal_p-value	ENCFF130TPK	/files/ENCFF130TPK/@@download/ENCFF130TPK.bigWig
J002	SK-N-SH	SK-N-SH	ChIP-seq_H3F3A_signal_p-value	ENCFF780EJH	/files/ENCFF780EJH/@@download/ENCFF780EJH.bigWig
J002	SK-N-SH	SK-N-SH	ChIP-seq_H3K36me3_signal_p-value	ENCFF656AMD	/files/ENCFF656AMD/@@download/ENCFF656AMD.bigWig
J002	SK-N-SH	SK-N-SH	small_RNA-seq_plus_strand_signal_of_all_reads	ENCFF712RVT	/files/ENCFF712RVT/@@download/ENCFF712RVT.bigWig
J002	SK-N-SH	SK-N-SH	small_RNA-seq_minus_strand_signal_of_all_reads	ENCFF204OLO	/files/ENCFF204OLO/@@download/ENCFF204OLO.bigWig
J002	SK-N-SH	SK-N-SH	ChIP-seq_H3K4me1_signal_p-value	ENCFF287YLK	/files/ENCFF287YLK/@@download/ENCFF287YLK.bigWig
J002	SK-N-SH	SK-N-SH	ChIP-seq_RFX5_signal_p-value	ENCFF154XYI	/files/ENCFF154XYI/@@download/ENCFF154XYI.bigWig
J002	SK-N-SH	SK-N-SH	ChIP-seq_H3K27ac_signal_p-value	ENCFF860WFP	/files/ENCFF860WFP/@@download/ENCFF860WFP.bigWig
J002	SK-N-SH	SK-N-SH	ChIP-seq_H3K79me2_signal_p-value	ENCFF704KBD	/files/ENCFF704KBD/@@download/ENCFF704KBD.bigWig
J002	SK-N-SH	SK-N-SH	ChIP-seq_POLR2AphosphoS5_signal_p-value	ENCFF870RJS	/files/ENCFF870RJS/@@download/ENCFF870RJS.bigWig
J002	SK-N-SH	SK-N-SH	ChIP-seq_RCOR1_signal_p-value	ENCFF191WUI	/files/ENCFF191WUI/@@download/ENCFF191WUI.bigWig
J002	SK-N-SH	SK-N-SH	ChIP-seq_H3K4me2_signal_p-value	ENCFF316YUI	/files/ENCFF316YUI/@@download/ENCFF316YUI.bigWig
J002	SK-N-SH	SK-N-SH	CAGE_plus_strand_signal_of_all_reads	ENCFF181DQH	/files/ENCFF181DQH/@@download/ENCFF181DQH.bigWig
J002	SK-N-SH	SK-N-SH	polyA_RNA-seq_plus_strand_signal_of_all_reads	ENCFF571JFI	/files/ENCFF571JFI/@@download/ENCFF571JFI.bigWig
J004	K562	K562	polyA_depleted_RNA-seq_plus_strand_signal_of_all_reads	ENCFF054CNG	/files/ENCFF054CNG/@@download/ENCFF054CNG.bigWig
J004	K562	K562	ChIP-seq_SUZ12_signal_p-value	ENCFF239QWU	/files/ENCFF239QWU/@@download/ENCFF239QWU.bigWig
J004	K562	K562	ChIP-seq_MAX_signal_p-value	ENCFF043FNE	/files/ENCFF043FNE/@@download/ENCFF043FNE.bigWig
J004	K562	K562	ChIP-seq_CEBPB_signal_p-value	ENCFF814AET	/files/ENCFF814AET/@@download/ENCFF814AET.bigWig
J004	K562	K562	small_RNA-seq_minus_strand_signal_of_all_reads	ENCFF509DIG	/files/ENCFF509DIG/@@download/ENCFF509DIG.bigWig
J004	K562	K562	ChIP-seq_TARDBP_signal_p-value	ENCFF318UDN	/files/ENCFF318UDN/@@download/ENCFF318UDN.bigWig
J004	K562	K562	ChIP-seq_SMC3_signal_p-value	ENCFF067OLL	/files/ENCFF067OLL/@@download/ENCFF067OLL.bigWig
J004	K562	K562	ChIP-seq_SP1_signal_p-value	ENCFF470GKX	/files/ENCFF470GKX/@@download/ENCFF470GKX.bigWig
J004	K562	K562	ChIP-seq_NRF1_signal_p-value	ENCFF385KDZ	/files/ENCFF385KDZ/@@download/ENCFF385KDZ.bigWig
J004	K562	K562	ChIP-seq_H3K9me3_signal_p-value	ENCFF559MMQ	/files/ENCFF559MMQ/@@download/ENCFF559MMQ.bigWig
J004	K562	K562	ChIP-seq_TCF12_signal_p-value	ENCFF882LDR	/files/ENCFF882LDR/@@download/ENCFF882LDR.bigWig
J004	K562	K562	ChIP-seq_GABPA_signal_p-value	ENCFF025QZU	/files/ENCFF025QZU/@@download/ENCFF025QZU.bigWig
J004	K562	K562	ChIP-seq_H3K4me2_signal_p-value	ENCFF523HCI	/files/ENCFF523HCI/@@download/ENCFF523HCI.bigWig
J004	K562	K562	ChIP-seq_EGR1_signal_p-value	ENCFF104FAR	/files/ENCFF104FAR/@@download/ENCFF104FAR.bigWig
J004	K562	K562	ChIP-seq_JUND_signal_p-value	ENCFF788JLS	/files/ENCFF788JLS/@@download/ENCFF788JLS.bigWig
