Biosample Index	Biosample	Biosample summary	Assay	Accession_x	Download URL
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_XRN2_minus_strand_signal_of_all_reads	ENCFF195DTQ	/files/ENCFF195DTQ/@@download/ENCFF195DTQ.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_CSTF2_minus_strand_signal_of_all_reads	ENCFF016QXC	/files/ENCFF016QXC/@@download/ENCFF016QXC.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_SUGP2_plus_strand_signal_of_all_reads	ENCFF823WOW	/files/ENCFF823WOW/@@download/ENCFF823WOW.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_NOL12_minus_strand_signal_of_all_reads	ENCFF585FUP	/files/ENCFF585FUP/@@download/ENCFF585FUP.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_TROVE2_minus_strand_signal_of_all_reads	ENCFF771NXR	/files/ENCFF771NXR/@@download/ENCFF771NXR.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_PUF60_plus_strand_signal_of_all_reads	ENCFF200TYB	/files/ENCFF200TYB/@@download/ENCFF200TYB.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_RBM22_minus_strand_signal_of_all_reads	ENCFF735TME	/files/ENCFF735TME/@@download/ENCFF735TME.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_RPL23A_plus_strand_signal_of_all_reads	ENCFF479PFI	/files/ENCFF479PFI/@@download/ENCFF479PFI.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_SLTM_minus_strand_signal_of_all_reads	ENCFF456AYA	/files/ENCFF456AYA/@@download/ENCFF456AYA.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_GPKOW_minus_strand_signal_of_all_reads	ENCFF095TOD	/files/ENCFF095TOD/@@download/ENCFF095TOD.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_RPS5_minus_strand_signal_of_all_reads	ENCFF193XWX	/files/ENCFF193XWX/@@download/ENCFF193XWX.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_FMR1_plus_strand_signal_of_all_reads	ENCFF464EMW	/files/ENCFF464EMW/@@download/ENCFF464EMW.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_SRSF7_plus_strand_signal_of_all_reads	ENCFF314GOT	/files/ENCFF314GOT/@@download/ENCFF314GOT.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_BOP1_minus_strand_signal_of_all_reads	ENCFF463YRT	/files/ENCFF463YRT/@@download/ENCFF463YRT.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_MSI2_plus_strand_signal_of_all_reads	ENCFF855GGL	/files/ENCFF855GGL/@@download/ENCFF855GGL.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_ESF1_plus_strand_signal_of_all_reads	ENCFF940BSJ	/files/ENCFF940BSJ/@@download/ENCFF940BSJ.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_DNAJC2_plus_strand_signal_of_all_reads	ENCFF246ATH	/files/ENCFF246ATH/@@download/ENCFF246ATH.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_DDX1_minus_strand_signal_of_all_reads	ENCFF433TVJ	/files/ENCFF433TVJ/@@download/ENCFF433TVJ.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_RBM27_minus_strand_signal_of_all_reads	ENCFF344DQY	/files/ENCFF344DQY/@@download/ENCFF344DQY.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_CPSF7_plus_strand_signal_of_all_reads	ENCFF553CLN	/files/ENCFF553CLN/@@download/ENCFF553CLN.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_SUPV3L1_plus_strand_signal_of_all_reads	ENCFF205XEJ	/files/ENCFF205XEJ/@@download/ENCFF205XEJ.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_EIF2S2_plus_strand_signal_of_all_reads	ENCFF061EXE	/files/ENCFF061EXE/@@download/ENCFF061EXE.bigWig
J001	HepG2	HepG2 genetically modified using RNAi	shRNA_RNA-seq_SRP68_plus_strand_signal_of_all_reads	ENCFF619PKT	/files/ENCFF619PKT/@@download/ENCFF619PKT.bigWig
